index	secret
0	my mom use to tell me i was fat. i think she's a cow
1	i feel guilty about knowing i want to marry my partner when i'm so young
2	unattainability is one of the most attractive qualities a girl can have for me
3	i think i can speak to stuffed animals
4	I once skipped class to get a haircut
5	i'm still in love with you
6	My dad beat me
7	i'm in love with a married man
8	Physical pain helps me concentrate
9	sometimes I like to dance under the stars on the rooftop...naked
10	i unintentionally became a homewrecker yesterday
11	i sometimes like to watch those porn videos with the stepmom and daughter and boyfriend (but they're actors)
12	i'm a cheater
13	I'm not smarter than a 5th grader
14	I regret not being more thankful for my wonderful parents.
15	My girlfriend and I have already seriously talked and planned our whole life together. From who still need to go to gradschool, to where we want to settle down with kids and how many we'd like to have.
16	big crowds make me nervous
17	i fucked my math teacher
18	i think my dad cheated on my mom
19	I'm afraid to come out to my roommate
20	i lied to my best friend very badly at age 14
21	i have a secret boyfriend
22	i had sex with my ex-boyfriend's dad
23	sometimes i pretend to be a cat
24	I was sexually abused as a child and i'm scared to tell anyone
25	i had sex with my coworker
26	I see the world in a light brighter than most and I do not think understand.
27	I keyed some assholes car in highschool cause he made my best friend cry
28	14 is the age at which I lost my virginity and my parents will never know because that is horribly young.
29	I can't wait to start my life
30	I lie a lot
31	i'm scared of growing up and dying
32	I once stole dirty underwear from a guy's dorm room for a friend
33	I found the toe bone of a dinosaur while camping
34	my first fish froze to death
35	Greg wears dirty underwear every day
36	i can't ride a bike
37	My family has never loved me for who I ACTUALLY am...
38	my roommate doesnt know i'm gay
39	I wonder if I'm not good enough for him.
40	i've been cheated on and pretended i dont know
41	John was always more than a friend
42	I think Donald Trump has nice hair
43	i'm afraid of my full potential
44	I want to go back to my home country. India.
45	i am in love with someone i cannot have
46	The fur on my hood is not mink
47	I had an erotic encounter in the stacks
48	i still think about my ex fling
49	I am actually Miranda Sings
50	i co-run an infamous drug cartel in southern california
51	I worry sometimes that I have no empathy
52	I bullied other children at summer camp
53	I'm in a relationship, but no one needs to know. That's the beauty of it.
54	I'm afraid of what I dont remember
55	I have a darker past than I would like... I'm scared it will come out again
56	I am afraid of tiny dollhouses, oil paintings, music, museums, grass, porcelain
57	high functioning depression
58	i dont know what im going to do in my life and it scares me
59	my expo teacher is the hottest guy i've ever seen...yes i dreeam about him
60	I used to have a fantasy that I'd be in the genius club Mensa. I don't care about that at all anymore.
61	My relationship sucks to a whole new level. god knows what and who i even like anymore
62	i don't understand what allergies are
63	i once bumped someones phone when it was charging and it fell off a table and cracked and i just walked away
64	i took acid during an organic chemistry exam
65	I'm Gay and My Boyfriend is Straight
66	i slept with a work colleague
67	i love him but he was hurting me so i left him but that hurts me
68	i'm not sad anymore
69	I broke my sister's necklace and told her i lost it
70	i dont have underwear on
71	i cant tell dreams from reality
72	I love an au pair girlfriend
73	ich mag berlin nicht wirklich
74	I have spent the last few years questioning my sexuality, I still don't know
75	i want love in all areas of my life
76	I'm on a break with my high school sweetheart and i'm sleeping with someone else
77	my pants are on fire.
78	i smuggle drugs in my butt
79	i cried during lady and the tramp 2
80	I killed my rabbit
81	When I was 16, I came upon a dead man in a traffic accident.
82	when i see cute things i want to hurt them
83	I totally believe we are supposed to be in this very spot right now, and I'm still worried my life won't end up in a good way
84	I'm afraid that my relationship is going nowhere
85	I once was pregnant.
86	i once fucked while my roommate was in the room
87	i do not trust this system
88	i think of you when i'm with him
89	I'm manipulating my girlfriend and she doesn't know it
90	i can pickpocket. I enjoy it.
91	I am scared of what the world thinks of me, I am also scared of making decisions, and doubt myself in love.
92	i wrote this program
93	I dont know my baby's father
94	we are having an affair and leaving the country on saturday
95	I only have one nipple
96	My parents hate each other
97	I was born intersex but I haven't told anyone, not even my parents
98	I'm wearing dirty underwear again
99	Do you believe in society's lies?
100	My best friends father sexually assaulted me in front of her
101	i accidentally peed on a sanctuary carpet. in my defense, i was asleep and sleep-walked there, but in not my defense i didn't clean it in the morning.
102	one time i poured boiling water on my brother and then blamed someone else
103	I used to steal mail out of peoples' mailboxes, to look for money or baseball cards.
104	I'd rather be in the mountains
105	I HAVE A SECRET TWITTER ACCOUNT WITH 15,000 FOLLOWERS THAT I HAVEN'T TOLD ANYONE IN REAL LIFE ABOUT
106	i murdered a man once in reno
107	Sometimes I think I made the wrong decision about my career
108	Deep down I'm a Trump supporter...
109	i sleep with a pillow between my knees!
110	my uncle lost his virginity to tyra banks...
111	my current outfit costs 2 months rent
112	i wasn't sexually attracted to my boyfriend of four years
113	i have a deep secret. well since my inception, I have been a super child, I have been an extra ordinary child with massive super powers
114	i use a separate toothbrush to comb my fly away hairs
115	I don't like to hug people
116	I think I like him. I am just afraid to love again, I guess.
117	my third grade pool instructor let me look down her shirt
118	I immediately think Trump supporters have issues
119	i don't love myself nearly enough
