index	english	italian
0	my mom use to tell me i was fat. i think she's a cow	my mom use to tell me i was fat. i think she's a cow
1	i feel guilty about knowing i want to marry my partner when i'm so young	i feel guilty about knowing i want to marry my partner when i'm so young
2	unattainability is one of the most attractive qualities a girl can have for me	unattainability is one of the most attractive qualities a girl can have for me
3	i think i can speak to stuffed animals	i think i can speak to stuffed animals
4	I once skipped class to get a haircut	I once skipped class to get a haircut
5	i'm still in love with you	i'm still in love with you
6	My dad beat me	My dad beat me
7	i'm in love with a married man	i'm in love with a married man
8	Physical pain helps me concentrate	Physical pain helps me concentrate
9	sometimes I like to dance under the stars on the rooftop...naked	sometimes I like to dance under the stars on the rooftop...naked
10	i unintentionally became a homewrecker yesterday	i unintentionally became a homewrecker yesterday
11	i sometimes like to watch those porn videos with the stepmom and daughter and boyfriend (but they're actors)	i sometimes like to watch those porn videos with the stepmom and daughter and boyfriend (but they're actors)
12	i'm a cheater	i'm a cheater
13	I'm not smarter than a 5th grader	I'm not smarter than a 5th grader
14	I regret not being more thankful for my wonderful parents.	I regret not being more thankful for my wonderful parents.
15	My girlfriend and I have already seriously talked and planned our whole life together. From who still need to go to gradschool, to where we want to settle down with kids and how many we'd like to have.	My girlfriend and I have already seriously talked and planned our whole life together. From who still need to go to gradschool, to where we want to settle down with kids and how many we'd like to have.
16	big crowds make me nervous	big crowds make me nervous
17	i fucked my math teacher	i fucked my math teacher
18	i think my dad cheated on my mom	i think my dad cheated on my mom
19	I'm afraid to come out to my roommate	I'm afraid to come out to my roommate
20	i lied to my best friend very badly at age 14	i lied to my best friend very badly at age 14
21	i have a secret boyfriend	i have a secret boyfriend
22	i had sex with my ex-boyfriend's dad	i had sex with my ex-boyfriend's dad
23	sometimes i pretend to be a cat	sometimes i pretend to be a cat
24	I was sexually abused as a child and i'm scared to tell anyone	I was sexually abused as a child and i'm scared to tell anyone
25	i had sex with my coworker	i had sex with my coworker
26	I see the world in a light brighter than most and I do not think understand.	I see the world in a light brighter than most and I do not think understand.
27	I keyed some assholes car in highschool cause he made my best friend cry	I keyed some assholes car in highschool cause he made my best friend cry
28	14 is the age at which I lost my virginity and my parents will never know because that is horribly young.	14 is the age at which I lost my virginity and my parents will never know because that is horribly young.
29	I can't wait to start my life	I can't wait to start my life
30	I lie a lot	I lie a lot
31	i'm scared of growing up and dying	i'm scared of growing up and dying
32	I once stole dirty underwear from a guy's dorm room for a friend	I once stole dirty underwear from a guy's dorm room for a friend
33	I found the toe bone of a dinosaur while camping	I found the toe bone of a dinosaur while camping
34	my first fish froze to death	my first fish froze to death
35	Greg wears dirty underwear every day	Greg wears dirty underwear every day
36	i can't ride a bike	i can't ride a bike
37	My family has never loved me for who I ACTUALLY am...	My family has never loved me for who I ACTUALLY am...
38	my roommate doesnt know i'm gay	my roommate doesnt know i'm gay
39	I wonder if I'm not good enough for him.	I wonder if I'm not good enough for him.
40	i've been cheated on and pretended i dont know	i've been cheated on and pretended i dont know
41	John was always more than a friend	John was always more than a friend
42	I think Donald Trump has nice hair	I think Donald Trump has nice hair
43	i'm afraid of my full potential	i'm afraid of my full potential
44	I want to go back to my home country. India.	I want to go back to my home country. India.
45	i am in love with someone i cannot have	i am in love with someone i cannot have
46	The fur on my hood is not mink	The fur on my hood is not mink
47	I had an erotic encounter in the stacks	I had an erotic encounter in the stacks
48	i still think about my ex fling	i still think about my ex fling
49	I am actually Miranda Sings	I am actually Miranda Sings
50	i co-run an infamous drug cartel in southern california	i co-run an infamous drug cartel in southern california
51	I worry sometimes that I have no empathy	I worry sometimes that I have no empathy
52	I bullied other children at summer camp	I bullied other children at summer camp
53	I'm in a relationship, but no one needs to know. That's the beauty of it.	I'm in a relationship, but no one needs to know. That's the beauty of it.
54	I'm afraid of what I dont remember	I'm afraid of what I dont remember
55	I have a darker past than I would like... I'm scared it will come out again	I have a darker past than I would like... I'm scared it will come out again
56	I am afraid of tiny dollhouses, oil paintings, music, museums, grass, porcelain	I am afraid of tiny dollhouses, oil paintings, music, museums, grass, porcelain
57	high functioning depression	high functioning depression
58	i dont know what im going to do in my life and it scares me	i dont know what im going to do in my life and it scares me
59	my expo teacher is the hottest guy i've ever seen...yes i dreeam about him	my expo teacher is the hottest guy i've ever seen...yes i dreeam about him
60	I used to have a fantasy that I'd be in the genius club Mensa. I don't care about that at all anymore.	I used to have a fantasy that I'd be in the genius club Mensa. I don't care about that at all anymore.
61	My relationship sucks to a whole new level. god knows what and who i even like anymore	My relationship sucks to a whole new level. god knows what and who i even like anymore
62	i don't understand what allergies are	i don't understand what allergies are
63	i once bumped someones phone when it was charging and it fell off a table and cracked and i just walked away	i once bumped someones phone when it was charging and it fell off a table and cracked and i just walked away
64	i took acid during an organic chemistry exam	i took acid during an organic chemistry exam
65	I'm Gay and My Boyfriend is Straight	I'm Gay and My Boyfriend is Straight
66	i slept with a work colleague	i slept with a work colleague
